Country,Indicator,Value,Rank,Country_with_rank
Cote d'Ivoire,Agricultural land share,86.5,1,1. Cote d'Ivoire
Turkmenistan,Agricultural land share,84.2,2,2. Turkmenistan
Burundi,Agricultural land share,83.9,3,3. Burundi
Uruguay,Agricultural land share,81.4,4,4. Uruguay
Saudi Arabia,Agricultural land share,80.8,5,5. Saudi Arabia
Kazakhstan,Agricultural land share,79.4,6,6. Kazakhstan
South Africa,Agricultural land share,79.4,7,7. South Africa
Lesotho,Agricultural land share,77.8,8,8. Lesotho
Rwanda,Agricultural land share,76.3,9,9. Rwanda
Nigeria,Agricultural land share,76.2,10,10. Nigeria
Moldova,Agricultural land share,74.1,11,11. Moldova
Syrian Arab Republic,Agricultural land share,74.1,12,12. Syrian Arab Republic
Djibouti,Agricultural land share,73.5,13,13. Djibouti
Guinea,Agricultural land share,73.2,14,14. Guinea
Bangladesh,Agricultural land share,72.3,15,15. Bangladesh
Uganda,Agricultural land share,71.9,16,16. Uganda
Comoros,Agricultural land share,71.5,17,17. Comoros
Ukraine,Agricultural land share,71.3,18,18. Ukraine
Madagascar,Agricultural land share,70.3,19,19. Madagascar
"Somalia, Fed. Rep.",Agricultural land share,70.3,20,"20. Somalia, Fed. Rep."
United Kingdom,Agricultural land share,70.3,21,21. United Kingdom
Togo,Agricultural land share,70.2,22,22. Togo
Faroe Islands,Agricultural land share,70.1,23,23. Faroe Islands
Eswatini,Agricultural land share,69.5,24,24. Eswatini
Isle of Man,Agricultural land share,69.1,25,25. Isle of Man
Mongolia,Agricultural land share,69,26,26. Mongolia
Morocco,Agricultural land share,66.7,27,27. Morocco
Lebanon,Agricultural land share,65.9,28,28. Lebanon
Denmark,Agricultural land share,65.5,29,29. Denmark
Haiti,Agricultural land share,65.1,30,30. Haiti
West Bank and Gaza,Agricultural land share,64.9,31,31. West Bank and Gaza
Malawi,Agricultural land share,64.2,32,32. Malawi
Eritrea,Agricultural land share,62.7,33,33. Eritrea
"Gambia, The",Agricultural land share,62.6,34,"34. Gambia, The"
